"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahrain","BHR","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","17056000","23429000","27405000","35097000","34540000","39678000","49539000","53229474.9975","42432474.9975","93985163.2641843","141072690.790568","161984862.194832","166652061.682414","209625428.104201","232609259.980036","443285047.787945","800415770.038935","811467146.558935","857571121.139795","864200920.443316","1096049712.65648","1130791916.792","1014781105.88058","1194138225.82343","1345284187.0958","1119419418.25838","1024709891.41224","916235813.656189","917537476.01304","893387843.739007","1025353824.57742","1044234328.10218","992799507.711209","1123629201.55545","930899927.108973","1245938297.43427","1326210304.62258","1346206250.42289","1334827484.45613","1249997022.04632","1531606688.68899","2270201433.02323","3680944809.59544","2732097934.05554","2131886955.0319","2062022631.36291","1641366538.88597","1705692872.25376","1586384622.51278","2331398493.81437","1336499345.42978","","","","","",
"Bahamas, The","BHS","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","25700000","-177700000","-133100000","69200000","-71700000","-89278250.0049992","267753299.995001","352209149.994999","240073550","145118531.495152","399504624.295292","279519935.195282","491898260.397507","205693748.69783","277763570.998222","343813481.400002","-92001580.0009995","-384714839.400002","-938807631.800003","-859430388","-1159105532","-1736288413.6","-1856819768.5","-1503033750","-122168142.360001","-246714268.682251","-242607385.584496","-264018907.84008","-148216499.562752","-400485946.472214","-55951078.5586319","-368784172.405975","-167803502.830338","-106422080.315521","-144902916.265015","111764667.822922","68735531.4286957","-166958696.722397","-123583050.496002","-328147871.695282","-40817809.7025604","-2813467286.17818","-1938430000.717","1257522037.12364","-31074740.3004456","223956601.926586","558164580.006449","402466348.109829","990886696.919941","1291536125.39998","2304117951.55232","2273986113.41593",
"Bosnia and Herzegovina","BIH","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-1984906801.61464","-1911037881.37191","-1273357387.61279","-1050991627.66824","2569266538.46377","2121236752.56879","1928415986.29676","2749250809.42385","2781341222.91485","4140407046.14079","5467081359.82878","3429762868.27573","4043803020.30638","4904288360.19429","5398944819.7356","5485309265.00253","6403342728.54574","7519211632.69734","8493915813.60133","9724796799.33344","10783732284.0458","12466131359.9663","13950553250.3378","16014518475.1994",
"Belarus","BLR","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263951.46620448","315994.306460091","382268.81355626","901227.136252193","4300829.86321282","8737642.56555584","43248984.3829725","60823419.0452382","90270321.5744476","116190019.228735","150340368.800395","264429310","142347570","638753220","309890990","800190030","-208877350","3479315610","3059360640","-1324248980","-3938335930","-4158237000.00001","-871945290","6293186065.1","7958868453.2","10797314807.6505","8013974277.42437",
"Belize","BLZ","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","4243000","12491000","26287000","15139000","16304000","10290000","-12540789.60264","-17335751.99664","-33411613.8","-15818857.58472","19089656.8","42126840.8","79487196","117511724.8","160038418.4","98420111.4","65695000","12592784","1324696.2395","37561866.48524","106211687.0328","95504761.823","59473138.81236","145603772.5499","267594625.1523","310472376.450895","299256447.032977","253860387.619788","191747259.302513","251398120.515679","274209315.203075","361758049.931906","488456266.165259","513451869.794822","570524668.339466","678097797.640594","840837990.330696","1028164933.72485","1191627898.90614","1043923402.24102","900711773.200302","774264556.442549","759112168.438745","594209878.094205","823274440.480108",
"Bermuda","BMU","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net foreign assets (current LCU)","FM.AST.NFRG.CN","-143.2","-113.1","-156.5","-81","86.6","219.55","276.0344","164.6532","128.0308","123.7096","130.5836","31.141692912109","478.6326","-151.49314","1833.35081","886.344796","1846.879146","1599.268136","-1617.472136","-6544.72","-8841.54","-15135.3065608438","-137554.737904375","-459220.95825","-6147781.7044","-549800000","-408651137","-234571380.354","-310181789.305","-670162887.864","-433822808.68","-298795561.47975","-549133039.375","-480195547.794","-856698701.55997","-605689465.441726","1272790368.11155","1310063428.02162","2463493761.86262","4267114295.8578","6831169751.23101","10461207565.3089","9811747172.02886","11828465719.7505","12973400513.8985","19273646645.0975","32422935629.1458","46223554384.2347","59371840988.7738","67556253732.9124","75924768616.4816","89544307679.495","105256968559.683","110362441393.22","118954982593.605","106225027177.507","85424140110.2269","85972626465.5303","73777652067.3192","54471851552.8093","42932409958.2728",
"Brazil","BRA","Net foreign assets (current LCU)","FM.AST.NFRG.CN","-2.90909088181818E-05","-1.9636364E-05","-0.000155636363545455","-0.000243272726363636","-0.000649454545454545","-0.000641454544454546","-0.000554181818454545","-0.000876727273454545","-0.00211709090918182","-0.00217163636445454","-0.00199818181745455","0.001090909091","0.00363636363563638","0.00763636363681814","0.00399999999945454","-0.000727272726999999","-0.000363636364090911","-0.00581818181863629","-0.00293546765694509","-0.0750970424762175","-0.258654636530097","-0.782271429888032","-2.29217479040514","-10.9986376730095","-32.0716059887085","-98.9405755870818","-231.497670109126","-1463.45712456508","-13919.0129475689","-193006.840758395","-1755646.72663111","-22082650.2306258","-157917722.136427","-3904066674.66238","15314955968.4857","24677215110.6684","30956241252.4613","14397994539.8776","-12606404527.3869","-12735805496.6729","3713963772.33929","-11271208084.2612","-55125612064.9617","-11465638885.7213","7414276686.51288","78694469445.8833","132220688439.852","235267914767.511","343073612014.164","349590929494.032","376382792254.515","486299957661.933","551275377084.81","667191929880.571","730653181689.427","1089322644095.95","968152326653.699","971238677177.697","1171326182865.72","1070671652393.03","1297345686556.4",
"Barbados","BRB","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","26200000","33200000","51500000","6400000","16400000","7700000","14810000","-19461062.4796596","-5458293.96292223","26564984.084098","-15838427.2969604","-33606004.5731105","14391089.4306035","41524350.1224716","68766150.4790643","-23022706.8093955","-26237675.1421528","-44156113.2402574","-32009664.7653394","18672776.2414846","28512541.2","57162304","74196946","-6794868.79999998","-38631409.2","-116039570","-82605000","-39527866.8","99319971.2908001","153272512.9351","367039988.67848","285483165.578","163580493.40434","216048881.38094","530486979.09342","1545178626.40942","1763039323.63178","2031267917.00113","1708407957.69608","1906260845.2677","1821632241.30688","3065569104.31791","1920403454.75066","1773433266.43016","","","1352213189.17798","1582927475.76412","1795958205.03727","2047896166.95034","1877370057.43518","1753395233.34622","1338891471.32397","1679338318.03596","",
"Brunei Darussalam","BRN","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3980206190.94638","6194184891.34645","5462479190.88689","5112082381.60505","6124576608.61366","7889864870.41879","8623391070.7124","7630199897.49761","8141903970.32277","10547552447.077","8577447662.63544","10932205342.4036","15592984836.8794","14859704173.1749","14047522462.2705","13070612212.9529","11211932418.8642","13404828948.4246","13250407925.5077","13599631474.7828","14324879056.6969","13317288427.1519",
"Bhutan","BTN","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","345700000","490200000","595400000","700100000","1076900000","1384400000","1446200000","1487500000","2479900000","1882600000","2811200000","3194900000","4432132111.22302","6583954796.32487","7345625042.83298","10847826829.8986","12905101951.3622","15078094850.4259","14641966354.9594","16952450625.9232","16736835734.7644","17270922950.9011","20955216167.4441","23939401875.3275","25145222580.4535","32790046741.5073","35392695546.7032","38496831224.7578","35247074966.3261","31919360466.9741","47096010664.6278","64618142057.0826","61738905436.4808","68485978498.4806","62140965486.3004","60262247375.6426","71016615010.5298","100638936137.777",
"Botswana","BWA","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","64697425.5652369","83144778.5530657","124629173.167884","212490453.190459","254463354.376552","217747336.736799","312524066.20967","452085751.680028","725444169.578783","1660461102.0533","2207388989.52591","3160503536.40207","4390257617.11189","5233569361.16832","6343986119.38623","7812891547.15026","8663851852.85489","10523865294.4858","10673399013.9276","12212950283.0034","18657737582.5812","22321156416.9083","27747338735.0714","30051340087.9206","35110560085.8291","42998797350.0632","31024764552.1016","24925324281.0707","25239723549.3439","35868772363.7315","48772742103.1955","60544629603.2645","72780064275.7806","59270634844.7704","52550355790.4382","63609741833.3193","63682285604.092","71941166937.2219","83252584037.9164","91045485610.9611","82237607399.4689","80945520645.3431","80128056472.755","73712547295.6293","62950792526.1098",
"Central African Republic","CAF","Net foreign assets (current LCU)","FM.AST.NFRG.CN","-40000000","-750000000","-170000000","320000000","1410000000","1940000000","1362000000","674000000","1144530618.94885","-524800946.55765","439575310.9331","-218120670.007","457564249.925","78462196.5721321","-5358349824.11187","-5732628922.29796","-797939219.992534","-810655412.181948","-3435320799.92412","1969665506.6453","2510352416.12654","4124135109.03378","-210590805.09935","1346957720.7113","7498647044.30147","8020913966.01891","11158674049.2615","15941971530.5078","13966112416.5235","19517834939.8475","18942591555.2264","13570490112.8352","12628494410.3276","20253498065.1262","84723328564.2608","91851971879.4897","100614026259.869","89090646494.3201","65032334281.1773","68088307796.3745","70942094925.4124","56159530096.1164","49258363762.8685","41490342973.4915","43838029035.0591","50119102842.5216","37338605719.6512","25740659745.3746","24400060943.2253","28663746750.8046","10567963014.045","13326314519.0598","-11407543409.0054","8614082461.71991","51722910236.1268","42224580563.6353","53726801163.3161","103680099799.034","76266705631.0859","90230784343.4578","",
"Canada","CAN","Net foreign assets (current LCU)","FM.AST.NFRG.CN","127609919.69557","198946875.566513","-157815179.713035","444784900.063215","1078075499.59042","763904999.266695","1520051785.06548","1744321233.53168","1883211359.57259","2729894951.00902","3119228926.28708","1673489269.32368","1283403142.4478","2057151492.86134","3372317631.99777","3603162970.23549","5076078578.83146","3657500849.60256","874968244.913517","-3525292060.96584","-5378782480.46498","-24008469355.3525","-20248922157.0962","-22582484476.9629","-24412162699.9695","-25278137382.8761","-19584979773.4488","-21021790938.4588","-19319822074.9582","-16457261941.4234","-19180296375.3643","-25096862321.1161","-23699064859.5","-23351657629.7499","-25873984187.3297","-5849208000.29652","-9262585744.15793","-29137501634.2671","-29011655225.8925","-7087900148.25095","4366603613.61769","5408650000","4899535000","5288051000","5092942000","6576969000","10228198000","8260995000","11252023000","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Net foreign assets (current LCU)","FM.AST.NFRG.CN","10069999999.9843","10862999999.9963","11308000000.01","12147000000.0158","13365000000.0354","14520000000.0351","16780000000.0058","17709000000.0139","22935999999.9197","25318999999.9807","32172699999.9807","40712700000.1033","45574000000","44984500000","38380000000","52853100000","58531300000","61660200000","67843700000","69146700000","69611645862.5024","57455151205.7219","69446552559.5844","74631321483.5298","84315814061.648","95300833842.1455","102752139716.979","111313493649.073","104793524496.544","86276377424.8372","74727414403.3993","73770082927.1053","85133483460","97763278904.2245","81988075288.7388","87941001768.0505","116349071320.387","135168475363.72","164064852221.725","180637122315.935","130206805466.762","139287812167.738","167074559571.325","171857167424.696","166444270003.715","184469447352.939","193207131157.148","181613831407.039","203322159407.675","150221392875.943","217678766713.75","239946054198.547","336924192094.039","411608016719.441","463184792331.079","453304475386.952","506308275892.672","","","","",
"Channel Islands","CHI","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net foreign assets (current LCU)","FM.AST.NFRG.CN","0","-173000","-376000","-528000","-641000","-628000","-282000","-521000","285146.70000076","2176239.79999924","4207513.59998779","559173.00720596","-9500000","-219900000","-1343900000","-8722200000","-3430000000","-18100000000","-688000000","10956100000","469700000","-109079000000","-342262685000","-511699463001.629","-974470140001.513","-1410075500000","-1686189854000.48","-1822155230000.69","-1283049990000","-720008961000.378","263207476000","1071869102000","1684734371000","2229715614000","3341683780000","4375914501000","5939613412000","6695916129012.97","6375874326567.91","8726651499884.34","8873477847648.25","10709396844423.7","10041738690381","7611773202993.56","7242096540832.82","6938818936423.43","9352016866671.24","8386991271537.19","11083500660213.3","8529006402958.29","8054515082856.64","14873084181706","13929058252852","15779466943865.2","19484328212836.5","20951877684387","21454533164190.9","16417123910842.6","17128571245830.1","20259307426017.8","26140712389990.9",
"China","CHN","Net foreign assets (current LCU)","FM.AST.NFRG.CN","","","","","","","","","","","","","","","","","","2410000000","540000000","-1640000000","-2780000000","2670000000","16140000000","23950000000","27030000000","42319460033.1689","40736500258.1312","65750416125.378","76028481157.2066","88914183746.3784","169225507935.774","251975289978.845","278217289289.748","220401497753.6","503529624175.424","635576760279.923","917462486813.67","1363426584028.48","1501439703394.84","1700128076658.14","2009880181326.99","2640020876761.8","3171969252920.63","3770379113873.52","5531946294215.65","7566930631642.25","10083673213719.3","13772357595305.3","17894568175771.8","19561154196756","22533204440890","25096827157120.1","25817519252636.2","28032948921821.8","28777073024435.2","28001073354272.8","26329449663897.2","25263930561710","25506987279521.6","26392404962887.5","26886430520561.9",
