"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Rwanda",2009,0.6,2.40205395,4.64,27.106462,9.247436,52944.2303566361,0.509
"Saint Lucia",2009,3.12,4.40184648,1.56,393.4664,2.14445,26953.9516641394,0.737
"Samoa",2009,1.79,4.34103143,4.39,37.194687,2.85911,35051.4076123303,0.703
"Sao Tome and Principe",2009,1.04,2.50735286,4.84,41.114967,5.895904,40908.2894899999,0.567
"Saudi Arabia",2009,17.68,2.78823706,3.06,339.12341,1.5268,27931.7579997446,0.852
"Senegal",2009,3.77,2.48626365,5.08,37.584412,9.143311,48027.3324220103,0.486
"Seychelles",2009,9.23,2.41307816,2.34,27.679007,1.71574,28675.5739357197,0.786
"Sierra Leone",2009,2.77,2.20751732,5.35,71.480682,19.856482,79093.099856836,0.423
"Singapore",2009,9.99,1.52659742,1.26,900.97925,0.37972,16479.1720039662,0.928
"Slovenia",2009,10.52,6.92463368,1.48,302.01859,0.449626,21966.4802348986,0.887
"Solomon Islands",2009,8.56,7.45379024,4.3,5.6547322,3.1268,48650.0339356981,0.539
"South Korea",2009,12.06,3.75614176,1.18,675.26422,0.559441,19503.601293987,0.896
"Spain",2009,8.04,7.20975996,1.38,569.64874,0.50956,18247.1939802488,0.88
"Sri Lanka",2009,1.39,1.53517067,2.23,109.04956,1.58524,28609.9766276261,0.763
"Sudan",2009,16.62,2.35673487,4.93,146.01424,9.050586,46361.3233652301,0.492
"Suriname",2009,6,3.196518,2.55,88.046661,2.92984,34787.6465409186,0.718
"Sweden",2009,6.99,8.10054769,1.94,602.9668,0.399721,19082.2963636278,0.92
"Switzerland",2009,7.13,7.20971487,1.49,1330.1068,0.549586,18584.4207739595,0.939
"Tajikistan",2009,1.89,1.47853698,3.5,79.810791,5.024464,36546.7904077396,0.645
"Tanzania",2009,5.18,2.10963816,5.49,33.934097,9.019264,60508.1226048485,0.515
"Thailand",2009,5.44,3.05171093,1.55,70.230743,1.92258,25172.6152538703,0.735
"Togo",2009,3.77,3.27821544,4.94,37.94928,11.658871,64779.6330841581,0.481
"Tonga",2009,1.42,3.70510996,3.96,28.569836,2.073673,37919.3978536531,0.717
"Trinidad and Tobago",2009,41.53,3.28081068,1.8,782.80658,3.4904,30993.9064914757,0.779
"Tunisia",2009,3.38,3.50737886,2.1,237.94467,2.212863,25684.0739361644,0.725
"Turkey",2009,5.67,4.92253199,2.17,124.46094,2.510524,25461.9744313934,0.778
"Turkmenistan",2009,15.98,1.16307322,2.77,304.73767,6.543598,39621.9298277302,0.697
"Uganda",2009,1.61,1.81433437,6.25,56.917088,9.98988,66839.2193227117,0.5
"Ukraine",2009,7.98,4.29235393,1.42,178.95262,1.506556,35436.9465678182,0.748
"United Arab Emirates",2009,23.8,3.03412595,1.9,387.33835,1.038452,31941.9652669571,0.855
"United Kingdom",2009,9.39,8.16289805,1.88,276.92233,0.63946,20922.8452170919,0.919
"United States",2009,21.53,8.01454968,2,957.71198,0.88895,24051.1242498767,0.918
"Uruguay",2009,9.96,5.35267689,2.09,246.82031,1.327648,24776.0067117901,0.801
"Uzbekistan",2009,6.27,2.61929018,2.46,91.011711,4.186876,39348.6569565099,0.695
"Vanuatu",2009,1.85,3.4023227,3.55,8.1320572,3.42434,49690.9475310336,0.598
"Venezuela",2009,9.3,2.49631244,2.5,492.42236,1.994624,28659.7074601768,0.778
"Vietnam",2009,3.04,2.56918742,1.94,79.89959,2.700952,28656.179318879,0.678
"Yemen",2009,1.61,1.3366978,4.8,183.74442,6.602696,46125.3088194831,0.505
"Zambia",2009,19.78,2.26166779,5.48,40.818398,10.4416,76854.2038578452,0.58
"Afghanistan",2008,0.56,1.38558405,6.25,96.217735,10.854478,71463.853664266,0.487
"Albania",2008,2.76,2.69389845,1.65,227.69455,1.67586,25247.4333507622,0.771
"Algeria",2008,4.6,3.06280389,2.75,133.61827,3.386476,27726.3088167039,0.745
"Angola",2008,1.72,2.71633445,6.31,43.463158,16.219462,67366.2845445143,0.554
"Antigua and Barbuda",2008,5.32,3.34303139,2.16,237.30222,1.287646,25182.117720076,0.768
"Argentina",2008,10.19,4.12109735,2.4,348.15549,1.805842,26453.7560525653,0.82
"Armenia",2008,4.29,1.76477031,1.4,186.7627,2.1862,27892.1683632954,0.742
"Australia",2008,42.01,5.92763101,1.94,627.54309,0.61948,19753.7075606214,0.931
"Austria",2008,11.37,7.99585689,1.41,692.46741,0.54955,20057.0212885772,0.897
"Azerbaijan",2008,6.14,0.82467549,1.87,430.19489,4.614628,39062.9814264869,0.752
"Bahamas",2008,12.45,3.35487744,1.88,499.22519,1.655611,29157.3168131106,0.807
"Bangladesh",2008,1.11,0.95375247,2.38,36.160549,6.589396,42595.4408362717,0.575
"Belarus",2008,10.59,3.87157645,1.45,227.79216,0.878548,34950.8685471733,0.804
"Belgium",2008,12.81,7.39675444,1.81,657.99487,0.579483,21377.2172426842,0.908
"Belize",2008,4.6,3.29067459,2.82,100.68126,2.352637,30760.4387050226,0.705
"Benin",2008,4.33,2.13769673,5.47,30.854893,14.125574,60227.5877331591,0.5
"Bhutan",2008,2.72,5.56240867,2.55,26.114481,5.790457,36487.897516552,0.589
"Bolivia",2008,12.5,3.40684324,3.35,66.016624,5.840653,37336.5369012934,0.668
"Bosnia and Herzegovina",2008,6.44,5.81286056,1.3,375.15695,0.918973,25042.6466078389,0.747
"Botswana",2008,37.53,3.92832193,2.9,32.926933,6.68256,70024.3939592433,0.693
"Brazil",2008,7.94,3.61158219,1.85,328.15781,2.36379,30824.396251372,0.748
"Brunei",2008,36.22,2.01577451,1.81,165.33037,1.347166,26019.701820964,0.853
"Bulgaria",2008,9.57,3.87031636,1.45,382.94214,1.40701,28995.4331215683,0.792
"Burkina Faso",2008,2.77,3.99697397,6.04,21.099833,15.852748,70368.0783900349,0.401
"Burundi",2008,0.7,3.35531171,6.45,24.227556,13.38844,72736.2463839883,0.414
"Cambodia",2008,8.68,1.11133123,3.02,79.427483,6.128619,45209.2672990203,0.56
"Cameroon",2008,6.4,1.04928733,5.22,100.46514,14.78696,69606.948494309,0.535
"Canada",2008,27.34,7.06345385,1.63,584.37891,0.689362,20048.3499000147,0.911
"Cape Verde",2008,0.75,3.03734974,2.83,50.028732,2.92142,32231.9146165742,0.642
"Central African Republic",2008,138.88,2.29050896,5.29,14.280574,17.531616,113196.47597113,0.344
"Chad",2008,10.74,0.99660419,6.8,46.781986,18.735104,78500.8016413378,0.397
"Chile",2008,6.66,2.94258872,1.93,414.34735,1.078453,22796.8025486372,0.828
"China",2008,7.57,2.29212345,1.58,138.34422,2.173895,25707.3693105857,0.729
"Colombia",2008,3.73,4.69800725,2.08,143.49614,2.332872,24645.0468055096,0.735
"Comoros",2008,0.88,3.09453206,5.05,100.68728,9.895835,44958.2444841224,0.499
"Congo",2008,7.54,1.23859287,5,37.681747,8.520814,66327.229469879,0.582
"Costa Rica",2008,2.44,6.26131067,1.98,273.43265,1.23792,20412.3275993575,0.776
"Cote d'Ivoire",2008,1.52,1.52862642,5.3,96.269295,14.243923,71249.6910099587,0.462
"Croatia",2008,7.43,6.53872294,1.43,232.85014,0.719233,25106.259767018,0.821
"Cyprus",2008,8.47,2.85082561,1.46,1091.033,0.549426,20592.2861656625,0.853
"Czechia",2008,13.87,5.62878443,1.42,286.82919,0.489556,23540.9714345791,0.874
"Democratic Republic of Congo",2008,12.49,2.09987276,6.57,9.9191647,15.23409,74222.8984692142,0.426
"Denmark",2008,11.86,8.62121482,1.89,556.08899,0.519613,21400.2192475447,0.931
"Djibouti",2008,3.06,5.74563286,3.5,33.570747,8.48066,50804.2054121862,0.463
"Dominican Republic",2008,3.18,2.05127783,2.66,206.80318,3.925527,31010.7675673498,0.713
"Ecuador",2008,3.29,1.63035466,2.71,295.52502,2.431357,29494.994685903,0.734
"Egypt",2008,3.33,2.0297272,3.06,259.42691,3.6442,39508.7963373826,0.68
"El Salvador",2008,1.96,3.70671478,2.36,160.36339,2.58037,31232.047964311,0.671
"Equatorial Guinea",2008,6.64,1.79507957,5.36,277.53589,14.22424,56453.7792469729,0.59
"Eritrea",2008,1.17,1.93142961,4.75,23.362103,7.5228,73184.8638465011,0.425
"Estonia",2008,16.36,4.71242341,1.64,270.11401,0.73892,28304.3079383459,0.862
"Eswatini",2008,2.81,5.70029508,3.69,62.045235,12.064342,120323.09006783,0.572
"Ethiopia",2008,2.11,2.22132219,5.2,14.623906,11.806615,59113.7717028155,0.438
"Fiji",2008,2.52,2.78032904,2.74,40.388653,2.926855,43182.50850594,0.727
"Finland",2008,14.75,6.25382194,1.85,632.04755,0.439637,21713.7709985549,0.912
"France",2008,8.46,8.16933746,1.98,277.92062,0.519613,19365.045449238,0.889
"Gabon",2008,40.23,1.07624141,4.14,178.96298,8.40406,58118.976794854,0.687
"Gambia",2008,2.11,3.5270129,5.76,18.500799,10.278794,54106.0447827821,0.453
"Georgia",2008,3.05,1.77997441,1.82,330.62506,2.204432,30649.50368878,0.757
"Germany",2008,12.08,7.90173866,1.37,549.91956,0.53956,20102.3885167229,0.928
"Ghana",2008,5.33,3.2230545,4.35,85.683617,9.382182,57501.2219549345,0.577
"Greece",2008,10.59,5.84985855,1.44,1141.8102,0.51952,20307.9365429841,0.856
"Grenada",2008,6.19,2.69154161,2.28,349.25287,1.65636,27664.2731458862,0.754
"Guatemala",2008,2.35,2.31978797,3.58,240.62936,4.281331,34882.5549470942,0.616
"Guinea",2008,13.1,0.7846244,5.5,32.590637,14.179456,71427.8378086182,0.435
"Guinea-Bissau",2008,3.92,1.15778754,5.17,37.695442,14.70634,77893.2449757959,0.44
"Guyana",2008,6.85,5.59724601,2.72,87.976883,4.352014,40528.4187926224,0.645
"Haiti",2008,0.87,1.35599984,3.49,35.420971,10.10125,58537.2184105481,0.486
"Honduras",2008,2.51,3.7255736,3.09,173.56102,3.116014,32031.423756982,0.6
"Hungary",2008,7.13,4.91256727,1.32,386.74585,0.78909,28195.7498582707,0.835
"Iceland",2008,15.89,7.27430979,2.1,590.06244,0.38971,18104.1478169144,0.92
"India",2008,2.04,1.16274094,2.75,91.173424,7.414653,46181.646511632,0.607
"Indonesia",2008,3.37,1.00579762,2.5,103.05281,4.285316,37526.4966277193,0.681
"Iraq",2008,4.74,2.93957483,4.55,76.704651,4.465682,36455.160414899,0.666
"Ireland",2008,15.62,6.51302712,2,481.60019,0.549516,20774.2106950314,0.911
"Israel",2008,10.29,4.47159299,2.95,500.67212,0.609412,19656.1554398382,0.895
"Italy",2008,9,6.8366536,1.41,648.73676,0.50959,18612.0284356542,0.876
"Jamaica",2008,4.99,2.89367121,2.25,146.5643,2.263598,26705.9478143031,0.726
"Japan",2008,10.82,6.99502179,1.34,433.14911,0.429694,17182.2673217526,0.899
"Jordan",2008,3.77,5.43125045,3.69,260.90143,2.669965,27258.2180293405,0.727
"Kazakhstan",2008,21.09,2.26257832,2.55,247.44797,2.899336,41735.2792378621,0.788
"Kenya",2008,1.36,1.40330995,4.58,43.663704,7.736288,61602.0384495623,0.566
"Kuwait",2008,33.67,1.5118627,2.34,342.957,1.367288,21823.6732183565,0.795
"Kyrgyzstan",2008,2.23,3.12832461,2.82,86.070518,3.698542,39409.5393635827,0.658
"Laos",2008,3.53,1.00146952,3.33,32.078552,10.347756,53937.2373740009,0.579
"Latvia",2008,6.52,4.12451505,1.49,405.1351,1.137712,31912.7715647658,0.833
"Lebanon",2008,4.44,3.14481341,1.6,490.80588,1.308062,25766.1780022755,0.751
"Lesotho",2008,1.27,6.05968377,3.37,35.834423,12.910744,114765.127270935,0.505
"Liberia",2008,0.78,3.90225382,5.19,23.485985,12.861889,62262.6353798922,0.429
"Libya",2008,12.26,1.38240756,2.43,181.32991,2.409848,29291.4948172569,0.707
"Lithuania",2008,8.36,4.78419577,1.43,365.72153,0.968298,33120.7047786603,0.836
"Luxembourg",2008,25.99,6.49296978,1.61,576.07257,0.369814,20306.3035477454,0.892
"Madagascar",2008,4.72,2.41891842,4.78,24.394699,8.605774,57613.2744583797,0.509
"Malawi",2008,1.24,6.09662472,5.61,8.122283,11.448278,89129.0012040026,0.461
"Malaysia",2008,9.47,1.93670636,2.19,229.18723,1.057816,26152.4061850669,0.785
"Mali",2008,6.15,1.97680192,6.67,55.685818,17.275762,68980.6345494554,0.408
"Mauritania",2008,3.44,1.35456473,5.06,77.214767,11.610505,43203.236747508,0.508
"Mexico",2008,5.67,2.76093682,2.39,402.9805,2.124664,26103.991192239,0.756
"Moldova",2008,3.13,5.38984775,1.26,197.2635,2.064544,36949.0594852463,0.693
"Mongolia",2008,17.7,3.18351906,2.43,71.059219,3.576412,46237.8244388708,0.729
"Morocco",2008,2.3,1.89197177,2.56,175.84375,3.91495,35920.909151415,0.645
"Mozambique",2008,15.92,2.6068045,5.64,3.9424846,13.42803,87266.935998408,0.423
"Namibia",2008,13.58,3.89854309,3.61,46.168114,6.97305,72543.756910271,0.628
"Nepal",2008,1.21,2.7256987,2.87,47.691635,6.063976,40497.5219770434,0.554
"Netherlands",2008,12.47,8.20974143,1.77,469.38815,0.56953,19902.0968465698,0.923
"New Zealand",2008,19.12,8.90698461,2.12,367.16516,0.769168,21942.3829241994,0.907
"Nicaragua",2008,2.82,3.83004075,2.52,115.92335,2.968,25695.4455938939,0.639
"Niger",2008,0.69,2.6958768,7.54,28.960949,18.193168,67141.0322880208,0.34
"Nigeria",2008,2.1,1.4700594,5.9,193.17764,16.288735,69549.7594087077,0.519
"North Macedonia",2008,5.68,4.7474917,1.47,219.16643,1.30816,25755.0208561649,0.743
"Norway",2008,14.89,7.09117288,1.96,774.28003,0.44965,20474.8006994423,0.946
"Oman",2008,20.01,1.58630081,2.89,108.15117,1.427144,27174.6345023688,0.812
"Pakistan",2008,2.07,0.83923589,3.94,87.716812,10.412356,53501.1949398742,0.538
"Panama",2008,4.29,4.66645234,2.63,283.19849,2.492119,24458.2160146853,0.776
"Papua New Guinea",2008,1.4,3.07541318,4.1,4.976366,8.042189,72803.4946282961,0.534
"Paraguay",2008,8.95,2.71307573,2.85,190.56723,3.178366,28659.4213443756,0.695
"Peru",2008,2.22,2.45203378,2.59,176.98177,2.69965,24909.0008193891,0.736
"Philippines",2008,1.68,1.33274562,3.28,118.02853,4.01408,38355.2236565128,0.685
"Poland",2008,11.04,4.93531592,1.36,285.18277,0.818995,26130.1332913635,0.85
"Portugal",2008,7.05,6.67403728,1.36,643.41925,0.549426,21120.8219425782,0.837
"Qatar",2008,59.85,1.57418264,2.21,345.6344,1.18772,24982.5066429799,0.854
"Romania",2008,6.66,4.37419799,1.45,152.54063,1.57636,29977.8746281889,0.8
"Russia",2008,20.98,3.52013722,1.49,333.43329,1.456192,40831.3909844683,0.804
"Rwanda",2008,0.53,2.83011895,4.77,26.54888,10.286456,56457.8435890608,0.503
"Saint Lucia",2008,3.15,3.57342645,1.57,406.62762,2.154265,27047.5374803957,0.733
"Saint Vincent and the Grenadines",2008,2.61,3.94640579,2.11,75.648033,2.56132,30527.5114350123,0.721
"Samoa",2008,1.8,3.8248453,4.43,37.826515,2.272629,30609.4784621869,0.7
"Sao Tome and Principe",2008,1.05,1.59207622,4.88,43.688999,6.249466,42431.1044897941,0.56
"Saudi Arabia",2008,17.22,1.88940521,3.15,248.29637,1.636301,28066.133311306,0.844
"Senegal",2008,4.25,2.52752637,5.1,38.065201,9.732862,49292.538427449,0.481
"Seychelles",2008,9.27,2.40511835,2.32,30.525782,1.725598,28777.4974774049,0.779
"Sierra Leone",2008,5.37,1.7879205,5.49,69.680061,20.828105,80963.4028749,0.419
"Singapore",2008,10.34,1.20049011,1.28,944.94739,0.37972,16989.942085092,0.923
"Slovenia",2008,11.5,6.29126392,1.44,295.52899,0.469604,22511.863616423,0.885
"Solomon Islands",2008,8.75,5.5227321,4.36,6.0103278,3.215908,48802.1884231406,0.539
"South Korea",2008,12.13,3.36436957,1.17,647.55945,0.579415,19790.94535181,0.893
"Spain",2008,8.81,6.51285614,1.38,586.52722,0.529538,18660.1271985568,0.875
"Sri Lanka",2008,1.4,1.58152413,2.26,95.006836,1.615203,28648.5331958071,0.759
"Sudan",2008,17.37,2.63095551,4.98,157.0752,9.341326,47102.2940022459,0.475
"Suriname",2008,6.33,2.7096789,2.58,93.697639,3.019258,35681.2005712897,0.715
"Sweden",2008,7.59,7.52156464,1.92,591.06702,0.409712,19160.6460944163,0.912
"Switzerland",2008,7.41,6.70373863,1.47,1279.9036,0.559577,18614.7569334794,0.938
"Tajikistan",2008,1.95,1.37177418,3.49,77.160957,5.292093,36842.8432830013,0.646
"Tanzania",2008,4.65,2.4358781,5.54,34.050377,9.420055,62573.7642879679,0.507
"Thailand",2008,5.38,2.97744708,1.55,62.330482,2.002062,25887.6889938093,0.728
"Togo",2008,4.41,2.4164918,5,32.33643,11.976824,66510.9667858314,0.472
"Tonga",2008,1.43,4.18653704,4.01,27.535364,2.043916,33685.6205981121,0.716
"Trinidad and Tobago",2008,41.47,2.1644503,1.8,557.53821,3.539956,31866.4648886842,0.779
"Tunisia",2008,3.37,3.0419123,2.06,222.79416,2.33224,25920.4856808412,0.723
"Turkey",2008,5.67,4.4352952,2.19,161.90172,2.69895,25509.3239797547,0.771
"Turkmenistan",2008,18.53,0.94683647,2.71,393.77243,6.78138,42294.0973012107,0.692
"Uganda",2008,2.82,2.30281954,6.34,69.512146,10.583944,69989.369663306,0.496
"Ukraine",2008,9.44,3.8250905,1.38,175.84665,1.58613,38886.9363318978,0.745
"United Arab Emirates",2008,26.31,1.9216341,1.95,509.25919,1.068328,31755.1924450989,0.851
"United Kingdom",2008,10.28,7.22015292,1.86,271.45444,0.669384,21242.2625394322,0.915
"United States",2008,21.86,7.36788367,2.07,972.00464,0.898936,24284.3911714006,0.916
"Uruguay",2008,10.16,5.29781275,2.11,142.77081,1.407382,25222.399388658,0.797
"Uzbekistan",2008,6.74,2.52990005,2.46,80.176376,4.436026,40199.745791969,0.69
"Vanuatu",2008,1.99,3.17989157,3.61,7.7351127,3.404448,49983.7343394776,0.597
"Venezuela",2008,9.64,1.23048911,2.53,420.15964,2.02439,28610.7155897945,0.776
"Vietnam",2008,2.95,2.1319632,1.92,73.740646,2.7406,29005.5290817149,0.675
"Yemen",2008,1.65,1.5650183,4.94,160.57079,6.927895,46992.6270901357,0.507
"Zambia",2008,24.55,2.18994158,5.56,35.498112,11.034596,81938.9818059325,0.574
"Afghanistan",2007,0.57,0.52213607,6.46,81.81105,11.25964,74522.0456988803,0.482
"Albania",2007,3.33,2.6291711,1.67,238.09305,1.785412,25418.6414533222,0.767
"Algeria",2007,4.59,2.70557079,2.66,127.12464,3.525571,28163.6250925546,0.74
"Angola",2007,1.75,2.21376402,6.37,46.74678,17.279179,70034.7069357784,0.543
"Antigua and Barbuda",2007,5.23,2.95,2.18,223.12529,1.327558,25399.1396270118,0.765
"Argentina",2007,9.62,3.78307484,2.41,375.71182,1.835761,26892.6494546243,0.818
"Armenia",2007,3.18,2.099285,1.4,222.02773,2.28601,27813.1487602994,0.737
"Australia",2007,51.16,5.76587639,1.92,603.94672,0.63946,19859.5732150981,0.929
"Austria",2007,11.24,7.77580259,1.38,676.47754,0.55954,20232.5521135485,0.899
"Azerbaijan",2007,5.26,0.98025388,1.84,453.71228,4.922672,39840.3635753968,0.745
"Bahamas",2007,12.06,3.18150171,1.87,503.25421,1.745206,29170.2092286115,0.807
"Bangladesh",2007,1.09,0.9876837,2.44,34.092693,6.944032,43898.2431090558,0.567
"Belarus",2007,10.01,4.45142433,1.4,187.86998,0.948344,35264.0331259707,0.803
"Belgium",2007,12.41,6.95293677,1.8,634.44922,0.589472,21478.1304353714,0.905
"Belize",2007,6.04,3.02231292,2.89,97.284294,2.402286,31093.3364738807,0.706
"Benin",2007,4.72,2.30708561,5.52,32.96804,14.37199,61424.3275552436,0.489
"Bhutan",2007,3.39,5.11889393,2.64,27.014656,6.125323,37729.4501771007,0.585
"Bolivia",2007,24.1,3.40882778,3.43,63.94854,6.157261,38448.3472049836,0.662
"Bosnia and Herzegovina",2007,6.54,5.33422194,1.29,334.37122,0.958921,25560.3238918331,0.739
"Botswana",2007,13.62,3.31571188,2.92,29.179888,6.939406,74190.5037832235,0.683
"Brazil",2007,14.15,3.45514823,1.88,339.38647,2.48343,31261.6893461757,0.736
"Brunei",2007,34.67,2.03867096,1.81,218.96338,1.367114,26154.2976694713,0.852
"Bulgaria",2007,9.61,3.73070586,1.42,334.49805,1.456787,29461.8648004933,0.786
"Burkina Faso",2007,3.06,3.99572174,6.12,20.088795,16.685392,72348.7326662975,0.394
"Burundi",2007,0.69,3.7804362,6.53,26.616777,14.359674,76963.372741627,0.408
"Cambodia",2007,14.41,1.32177086,3.09,52.445282,6.61952,46912.2665749451,0.553
"Cameroon",2007,6.54,1.06577621,5.27,87.527306,15.240076,71442.2125522116,0.526
"Canada",2007,27.12,6.89350136,1.62,567.80231,0.699351,20184.279020633,0.908
"Central African Republic",2007,162.65,2.03672245,5.32,14.925085,17.866109,115900.693525125,0.365
"Chad",2007,11.93,1.25025122,6.9,46.453548,19.187081,80017.3584685221,0.391
"Chile",2007,6.86,2.65565626,1.95,408.0762,1.088362,23195.5197271627,0.819
"China",2007,6.92,2.0265921,1.58,127.67652,2.3234,25770.1930208505,0.722
"Colombia",2007,3.99,4.53952652,2.12,120.6086,2.402452,25094.6764339817,0.725
"Comoros",2007,0.8,2.80299141,5.11,104.14489,10.17072,46832.126324297,0.493
"Congo",2007,8.59,1.54576413,5.01,42.680664,9.106718,68774.3335364681,0.573
"Costa Rica",2007,2.59,5.62783733,2.01,254.68446,1.23792,20446.3913767815,0.772
"Cote d'Ivoire",2007,1.46,1.42821313,5.34,99.977325,14.606076,73481.9519143229,0.454
"Croatia",2007,7.51,6.47762276,1.41,178.82007,0.749194,25194.2024148025,0.816
"Cyprus",2007,8.53,2.57804001,1.48,868.86359,0.579355,21092.5165921307,0.852
"Czechia",2007,14.55,5.55662626,1.39,215.08379,0.519493,23724.6224272539,0.865
"Democratic Republic of Congo",2007,15.33,1.20943434,6.61,9.8129463,15.71333,75114.6736094462,0.42
"Denmark",2007,12.45,8.42901165,1.85,530.34113,0.539595,21842.6724348135,0.924
"Djibouti",2007,3.01,5.33760059,3.62,38.990528,8.767201,52278.1147556199,0.459
"Dominican Republic",2007,3.2,1.99250876,2.69,194.05679,3.984964,31783.1313615804,0.71
"Ecuador",2007,3.51,1.5062409,2.74,262.75302,2.54055,29588.4001011941,0.726
"Egypt",2007,3.35,2.04669573,3.02,234.71173,3.76416,39876.3219205669,0.675
"El Salvador",2007,1.99,3.74476965,2.41,160.37047,2.69965,32037.7221100353,0.67
"Equatorial Guinea",2007,7.15,1.64082836,5.43,295.54367,14.73256,57171.7019797299,0.589
"Eritrea",2007,1.17,1.49033813,4.82,26.533564,7.854957,74735.5701758441,0.422
"Estonia",2007,17.53,3.89924275,1.62,245.4734,0.798761,29895.0643072302,0.859
"Eswatini",2007,3.26,4.81731525,3.76,59.117741,12.545776,121860.553272737,0.561
"Ethiopia",2007,2.33,2.5714771,5.36,13.329156,12.54894,62547.0976984061,0.43
"Fiji",2007,2.51,2.7919826,2.77,40.115219,2.926491,43403.3059427858,0.719
"Finland",2007,16.21,6.03173102,1.83,584.97803,0.459615,21969.4379710938,0.908
"France",2007,8.45,8.1182878,1.97,254.56966,0.53956,19451.7817495418,0.886
"Gabon",2007,8.78,1.26697806,4.16,204.17989,8.639445,59422.1119164809,0.678
"Gambia",2007,2.62,3.40312534,5.79,17.100025,10.656919,54949.2356304898,0.445
"Georgia",2007,3.16,1.44962343,1.77,313.70422,2.37376,29153.0475493107,0.75
"Germany",2007,11.83,7.73251951,1.36,525.59735,0.54955,20257.1998984879,0.928
"Ghana",2007,4.73,3.72988789,4.39,75.826477,9.69308,58547.8310981337,0.57
"Grenada",2007,6.04,2.89789097,2.3,329.13528,1.646386,27599.2833210798,0.749
"Guatemala",2007,2.49,2.26818626,3.7,247.86266,4.449804,35724.5400209116,0.613
"Guinea-Bissau",2007,4.73,1.36320144,5.24,34.761169,15.409,78932.8109097065,0.437
"Guyana",2007,6.6,4.68579605,2.76,79.939156,4.422045,41073.8098681705,0.642
"Haiti",2007,0.89,1.32660942,3.58,35.688358,10.294986,59335.9491953428,0.481
"Honduras",2007,2.49,3.63946928,3.2,151.82124,3.23515,32653.5722705024,0.597
"Hungary",2007,7.19,5.05082807,1.32,360.37106,0.838965,29007.6102358755,0.83
"Iceland",2007,14.28,7.22544354,2.1,570.01721,0.3997,18227.3831457321,0.909
"India",2007,2.02,1.09960072,2.82,89.525536,7.79724,46885.2029652623,0.6
"Indonesia",2007,3.32,1.12642589,2.51,106.81957,4.473091,37979.5371464037,0.675
"Iran",2007,9.04,2.42396485,1.79,431.94598,2.690991,31930.3458340184,0.781
"Iraq",2007,4.58,2.56524357,4.55,103.59724,4.555115,41256.1346019074,0.659
"Ireland",2007,15.92,5.72991017,1.99,427.71921,0.569494,20827.1954964174,0.902
"Israel",2007,10.74,4.56088595,2.93,524.21948,0.639337,19718.1390075926,0.893
"Italy",2007,9.37,6.48783966,1.4,599.04205,0.51958,18783.848624279,0.874
"Jamaica",2007,5.56,2.53492008,2.29,135.58537,2.303466,25756.5884215451,0.721
"Japan",2007,11.42,6.71504487,1.33,421.0502,0.44965,17274.7895019666,0.895
"Jordan",2007,3.86,4.99418197,3.71,267.63815,2.73965,28192.5425761203,0.726
"Kazakhstan",2007,20.4,1.78413256,2.47,239.92596,3.138076,43777.8993841705,0.781
"Kenya",2007,1.39,1.59685853,4.68,43.640564,8.217732,64081.1964071978,0.559
"Kiribati",2007,0.53,11.40077075,3.88,0.21023396,7.629616,59220.4440569641,0.598
"Kuwait",2007,34.44,1.67889261,2.4,375.36459,1.397125,21824.0359713534,0.796
"Kyrgyzstan",2007,2.18,3.53000042,2.73,73.951309,3.907828,41231.3632630899,0.649
"Laos",2007,11.93,1.02973006,3.42,38.809917,10.71567,55515.2939286381,0.569
"Latvia",2007,6.55,4.255979,1.46,409.44565,1.197489,33995.8685649463,0.824
"Lebanon",2007,3.7,3.71553554,1.63,477.51822,1.387926,25904.5863869302,0.751
"Lesotho",2007,2.24,5.59751222,3.41,34.390945,13.118945,118198.348964591,0.505
"Liberia",2007,0.81,2.76800143,5.28,22.113039,13.52637,63742.8781841233,0.42
"Libya",2007,11.91,1.74809734,2.44,204.22426,2.549092,28984.843307052,0.741
"Lithuania",2007,7.98,4.54217728,1.39,310.43884,1.048056,34597.3161845573,0.831
"Luxembourg",2007,27.23,5.82007398,1.62,543.78265,0.399769,20701.6486511348,0.892
"Madagascar",2007,6.91,2.73982184,4.87,24.923151,9.062929,58060.0832768196,0.507
"Malawi",2007,1.27,4.41611059,5.73,7.6828694,12.049986,94592.9029486197,0.455
"Malaysia",2007,9.41,1.96186767,2.22,222.60915,1.077709,25850.8086195883,0.781
"Mali",2007,5.47,2.58295809,6.72,52.96944,18.021562,70659.5601690397,0.408
"Malta",2007,7.94,5.48224056,1.38,637.03943,0.789252,20482.5193301283,0.849
"Mauritania",2007,4.05,1.65179135,5.1,79.018822,11.920393,44487.4652584873,0.499
"Mexico",2007,5.78,2.64237477,2.42,423.81183,2.18449,25534.921566308,0.757
"Moldova",2007,3.4,4.91970803,1.24,167.85376,2.11424,37467.9595314759,0.684
"Mongolia",2007,21.38,2.73641224,2.33,63.065285,3.875426,47554.9453595183,0.72
"Morocco",2007,2.34,1.89807732,2.56,165.95551,4.09353,36326.4785843509,0.635
"Mozambique",2007,14.32,3.10000509,5.67,4.1030898,14.222365,89095.1690393664,0.412
"Namibia",2007,17.58,3.80077117,3.62,58.37133,7.376567,77343.5351119112,0.617
