"country","year","greenhouse_gas_per_capita","public_expenditure_health_%gdp","fertiltiy_rate","oop_expenditure_healthcare_per_capita","youth_mortality_rate","burden_of_disease","hdi"
"Morocco",2012,2.41,2.18146636,2.58,216.21527,3.288904,33850.0850736439,0.667
"Mozambique",2012,14.81,2.77638277,5.47,4.2847118,10.863118,82387.3067822382,0.437
"Myanmar",2012,10.36,0.8196291,2.32,56.926064,6.79395,44840.7890753637,0.578
"Namibia",2012,16.81,4.85409775,3.59,92.312195,6.44227,54562.4671165416,0.647
"Nepal",2012,1.47,2.4668546,2.38,62.102554,4.900744,37830.6720513362,0.574
"Netherlands",2012,11.69,9.52842158,1.76,529.67358,0.509622,19244.9520511262,0.931
"New Zealand",2012,17.72,9.54766661,2.07,400.62622,0.70934,20998.6545237138,0.917
"Nicaragua",2012,2.78,4.26016257,2.34,126.09931,2.491099,24497.9898354699,0.658
"Niger",2012,0.65,2.2118347,7.42,31.176849,14.968747,61485.7196202872,0.354
"Nigeria",2012,1.8,1.03316953,5.76,133.08781,14.023031,61807.7983702412,0.532
"North Macedonia",2012,6.26,4.42539678,1.49,276.75485,1.178544,24324.9684630503,0.757
"Norway",2012,12.66,7.773856,1.85,854.61328,0.37976,19585.165597078,0.953
"Oman",2012,17.95,2.07995677,2.88,116.51929,1.367378,27081.0585764039,0.821
"Pakistan",2012,2.08,1.01846302,3.74,67.367111,9.719544,49940.457900336,0.562
"Panama",2012,4.31,4.9715198,2.6,420.24396,2.213763,24213.416822659,0.789
"Papua New Guinea",2012,1.49,3.65327954,3.87,7.9587812,7.2271,69351.0345818707,0.544
"Paraguay",2012,7.97,4.59860124,2.63,216.95854,2.820898,27677.2190604878,0.702
"Peru",2012,2.48,2.84664765,2.5,205.56989,2.232785,23867.7520207614,0.75
"Philippines",2012,1.73,1.38625636,3.07,155.5918,3.728416,37672.5333522122,0.699
"Poland",2012,10.89,4.57751554,1.34,358.58813,0.669298,24574.0426650026,0.865
"Portugal",2012,6.9,6.23891139,1.29,694.96448,0.479593,19896.0488793125,0.847
