"","Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"152","France","1998",23358.5013410824,3.98568730445122,6.40982047608335,22.6152011693207,26.1264919786729,23.380274814039,0.845,20.680510926876,NA,16182755399.4058,5.89951566666667,73773200168.1186,0.65112686783302,1.513518,62.736,143.194,3.58865942535427,"0",26101.9688962674
"153","France","2000",26101.9688962674,3.66605221057672,6.64715706612175,22.3258723712198,28.5949742490286,27.2662714690058,0.849,22.4880544574712,NA,132207098895.581,NA,63728079967.5087,1.6759598872093,1.71177,60.936,138.639,3.92366922704063,"0",28523.8861886505
"154","France","2002",28523.8861886505,2.08227810520452,-0.917374378499403,22.7211494436744,27.5310502579308,25.5409745004028,0.852,21.3155824714122,335781161243.947,1451944337.96857,NA,61696755317.4323,1.9234122872706,1.602407,60.634,136.68,1.13553148214601,"0",28143.6408076059
"155","France","2003",28143.6408076059,1.48544230006083,1.91907191116792,23.143427286765,26.1119689746398,24.6858645485955,0.855,21.1861288577796,365989114134.03,10242909367.5665,NA,70762382918.7419,2.09847219146922,1.714666,60.006,134.868,0.823160756684118,"0",29036.386661244
"156","France","2004",29036.386661244,1.95107825656467,3.48012997640097,23.0446960978721,26.4688363216607,25.4561715567725,0.858,21.8896033436247,426596952513.167,25513610482.5624,NA,77353273268.9503,2.14208964640242,1.776973,57.921,126.87,2.82975292869891,"0",30498.5768807102
"157","France","2005",30498.5768807102,2.41778466231762,2.89952224547304,23.0670392801425,27.0330510418171,26.947655734595,0.867,22.4526234423709,543930027694.61,33660365152.6497,NA,74359915676.4761,1.74586936380481,1.671527,56.754,126.589,1.66321998030079,"0",32425.1238753017
"158","France","2006",32425.1238753017,2.14333941348795,3.64548140665623,22.7591793094828,27.9350550901956,28.16836935943,0.871,23.2377116371985,549048926548.21,51482577203.1683,NA,98239163382.5086,1.67512449608728,1.632802,56.165,123.283,2.44932360111885,"0",34079.9312716648
"159","France","2007",34079.9312716648,2.637579655435,5.53448415209947,22.4331396546751,27.853257510199,28.5674990728149,0.874,24.1648122965344,505432478022.96,48449400448.7047,NA,115487080914.377,1.48799805953858,1.471042,54.815,120.77,2.42473624337305,"0",35095.2656832956
"160","France","2008",35095.2656832956,0.522142576546997,0.853106131828469,22.5625633664261,28.1193848563025,29.2776980294924,0.875,24.1298848613216,458534546203.69,68001785591.4717,NA,103306201680.133,2.81286194914787,1.582908,55.022,118.248,0.254945960124005,"1",34703.5984181258
"161","France","2009",34703.5984181258,0.304815545238341,-9.06976238159412,24.0808047006283,24.8355472102672,25.6269036398058,0.876,21.3331598174365,597161633027.82,70295520050.08,NA,131785833333.227,0.0876204781574529,1.480974,55.372,118.419,-2.87331382849631,"1",35930.3143995293
