"","Country Name","Year","FSI","Rule of Law","Voice.Accountability","No violence Index","CorruptionPI","Human Development Index","Life_Satisfaction","Healthcare_Exp","GDP Per Capita","Unemployment Rate","Aid per capita","FSI (Year+4)"
"65","Kazakhstan","2014",68.5,-0.5981513,-1.183921,0.0360182,29,0.798,5.97,2.97468424,12807.2606866152,5.06,5.36779692443512,63.4
"66","Kazakhstan","2015",68.3,-0.4394074,-1.163788,-0.0350003,28,0.806,5.95,3.04051089,10510.7718884149,4.93,4.65717952693783,61.6
"67","Serbia","2007",81.1,-0.4667416,0.3053002,-0.5910532,3.4,0.758,4.75,9.37649155,5848.47640545105,18.06,114.130055638862,75
"68","Serbia","2009",79.2,-0.413305,0.3356198,-0.4775892,3.5,0.766,4.38,9.34623241,6169.11419477823,16.14,85.1190332771289,74.4
"69","Serbia","2010",77.8,-0.3731288,0.2864665,-0.4217417,3.5,0.766,4.461,9.5273037,5735.42285659849,19.22,90.7187515193338,72
"70","Serbia","2011",74.4,-0.2896033,0.2786245,-0.2828821,3.31,0.776,4.815,9.11380005,6809.15980400146,22.97,190.648489044083,73.8
"71","Serbia","2012",75,-0.3562856,0.1989435,-0.2172995,39,0.775,5.155,9.32820988,6015.94522756969,24,151.099929796122,72
"72","Serbia","2013",74.4,-0.3261667,0.2854885,-0.0756381,42,0.778,5.102,9.31232452,6755.07367461629,22.15,108.913406331884,70
"73","Serbia","2014",72,-0.149774,0.2126113,0.1841108,41,0.784,5.113,9.24598789,6600.05680854589,19.22,51.4755032122186,68.1
"74","Serbia","2015",73.8,-0.1172576,0.2310588,0.238982,40,0.789,5.318,8.81929588,5588.98072768556,17.66,44.0399074984857,68
"75","Tajikistan","2006",87.7,-1.178524,-1.351941,-1.386591,2.2,0.617,4.613,5.03254795,408.838413523407,12.38,29.8746563870739,89.2
"76","Tajikistan","2007",88.7,-1.292668,-1.292121,-0.7509679,2.1,0.621,4.432,5.54050112,526.643288270494,11.84,27.8124386546585,88.3
"77","Tajikistan","2009",90.3,-1.26772,-1.3321,-1.025995,2,0.633,4.575,5.85579777,676.12351106337,11.5,40.4969508817133,85.2
"78","Tajikistan","2010",89.2,-1.209445,-1.431079,-1.034538,2.1,0.638,4.381,5.73543406,749.552412285997,10.85,51.5384019478488,84.6
"79","Tajikistan","2011",88.3,-1.22634,-1.380848,-1.023234,2.27,0.636,4.263,5.85971832,847.382432066315,10.16,36.6521270955405,83.4
"80","Tajikistan","2012",85.7,-1.20035,-1.422404,-1.24086,22,0.643,4.497,5.98185873,969.296103880894,9.5,50.0619836225619,83.8
"81","Tajikistan","2013",85.2,-1.252659,-1.504127,-1.182374,22,0.653,4.967,6.53226376,1048.22560182624,8.86,48.4566440870198,81.8
"82","Tajikistan","2014",84.6,-1.011117,-1.495486,-0.6933408,23,0.652,4.896,6.6654973,1104.17235837941,8.17,43.1924658377805,79.5
"83","Tajikistan","2015",83.4,-1.055601,-1.569086,-0.8826423,26,0.652,5.124,6.9073596,978.404981180605,7.53,51.1295278612456,77.7
"84","Turkmenistan","2011",79.7,-1.456832,-2.165721,0.2341291,1.6,0.673,5.792,4.89650869,5649.96210595541,4,7.88933129216196,77.4
"85","Turkmenistan","2012",77.4,-1.402587,-2.250428,0.4280879,17,0.679,5.464,4.77595139,6675.17805486958,4,7.14895061669895,76
"86","Turkmenistan","2013",76.7,-1.386706,-2.216408,0.2490955,17,0.685,5.392,5.15063286,7304.28577118881,4.01,6.6916667500399,74.4
"87","Turkmenistan","2014",78.2,-1.364684,-2.259159,0.074206,17,0.689,5.787,5.49777317,7962.24492480061,3.97,6.30771237530675,72.6
"88","Turkmenistan","2015",77.4,-1.417884,-2.237535,-0.0877989,18,0.694,5.791,6.29793644,6432.68532538494,3.94,4.1237796465947,71.4
"89","Ukraine","2006",72.9,-0.7957069,0.0496413,-0.0358267,2.8,0.744,4.804,6.41695166,2300.76970925872,6.81,10.3580452574271,69.5
"90","Ukraine","2007",71.4,-0.7269635,0.0641184,0.1731321,2.7,0.751,5.252,6.01705217,3065.61129390842,6.35,9.05151256099613,69
"91","Ukraine","2008",70.8,-0.6813426,0.0906661,0.0424114,2.5,0.755,5.172,5.49728012,3887.24233680525,6.36,13.3457445899133,67.2
"92","Ukraine","2009",69.7,-0.7587808,0.0590448,-0.3018807,2.2,0.749,5.166,6.60771894,2542.99542417522,8.84,14.2165605936979,65.9
"93","Ukraine","2010",69.5,-0.8076265,-0.0840042,0.0131317,2.4,0.755,5.058,6.81229019,2965.13971520617,8.1,14.3152260046129,67.2
"94","Ukraine","2011",69,-0.8187549,-0.1324406,-0.0704315,2.3,0.76,5.083,6.81617165,3569.75812083898,7.85,17.0202714946054,76.3
"95","Ukraine","2012",67.2,-0.782857,-0.279543,-0.0922749,26,0.764,5.03,7.11666059,3855.41772856732,7.53,16.93361275334,75.5
"96","Ukraine","2013",65.9,-0.804526,-0.3153966,-0.777285,25,0.767,4.711,6.94156218,4029.71125162545,7.17,17.3828557704904,74
"97","Ukraine","2014",67.2,-0.7910743,-0.1422317,-2.020833,26,0.771,4.297,7.18960381,3104.64320609541,9.27,31.008463067178,72.6
"98","Ukraine","2015",76.3,-0.8136155,-0.0867992,-1.9618,27,0.765,3.965,7.77607775,2124.6623187838,9.14,32.0979053918002,71
"99","Uzbekistan","2006",94.4,-1.446826,-2.071797,-1.784578,2.1,0.637,5.232,4.84634113,654.283837283285,5.86,5.6481647753382,88.3
"100","Uzbekistan","2008",93.4,-1.166035,-2.100143,-1.209089,1.8,0.653,5.311,4.79835844,1082.28602501699,4.89,6.5722197884981,87.5
"101","Uzbekistan","2009",92.8,-1.321667,-2.102612,-0.9496508,1.7,0.66,5.261,4.89245224,1213.26532816388,5,6.16586380841804,86.9
"102","Uzbekistan","2010",90.5,-1.41596,-2.085673,-0.7204381,1.6,0.669,5.095,5.11752939,1634.31209539718,5.4,6.9370920997412,86.3
"103","Uzbekistan","2011",88.3,-1.445755,-2.124431,-0.5997193,1.62,0.676,5.739,5.28212595,1926.29299673401,5,4.90057733898093,85.3
"104","Uzbekistan","2012",87.5,-1.290145,-2.033549,-0.5187393,17,0.685,6.019,5.58976364,2137.025122118,4.9,8.59493874496999,83.5
"105","Uzbekistan","2013",86.9,-1.226715,-1.966497,-0.536079,17,0.692,5.94,5.66173792,2281.41097296841,4.9,9.75954937513586,81.5
"106","Uzbekistan","2014",86.3,-1.12977,-1.913252,-0.2731086,18,0.696,6.049,4.67292738,2492.33664277468,5.1,10.5557311966673,79.1
"107","Uzbekistan","2015",85.3,-1.111262,-1.95614,-0.3730364,19,0.701,5.972,4.9875989,2615.025134487,5.2,14.4094520893706,75.7
