"Country Name","Year","GDP Per Capita PPP","Private Expenditure Consumption (% growth)","Gross Fixed Investment (% growth)","Govt Expenditure Consumption (% GDP)","Exports of G&S (% GDP)","Imports of G&S (% GDP)","Human Development Index","Gross Capital Formation","Net foreign asset","Net FDI (BOP)","Exchange Rate","Total Reserves","Inflation Rate","Govt Effectiveness","Female Adult Mortality Rate","Male Adult Mortality Rate","Real GDP (% growth)","major.event","GDP Per Capita PPP (Year+1)"
"Brunei Darussalam","2004",73808.3213789057,12.262034914609,2.93902852018306,22.0528860999868,68.7990469672454,31.7905237179863,0.818,13.4864384432866,7889864870.41879,-71630911.7273666,1.69022833333333,488889689.086051,0.814223994682602,0.2431719,81.523,114.322,0.504318252687327,"0",75214.167116211
"Brunei Darussalam","2005",75214.167116211,-0.565267987920663,0.765049365510961,18.408700104511,70.1684471590321,27.2891694625922,0.822,11.3667044608845,8623391070.7124,-175068516.562807,1.6643975,491885270.089171,1.24443711883964,0.600312,79.729,112.131,0.38750720823208,"0",79772.8905497993
"Brunei Darussalam","2006",79772.8905497993,3.72993313730765,1.68167169594935,18.0617586059322,71.7246979556453,25.2164514040536,0.825,10.437401924744,7630199897.49761,-70382447.539689,1.58893333333333,513570258.749097,0.159888078345143,0.8732989,77.935,109.94,4.39771967752176,"0",81012.9900947598
"Brunei Darussalam","2007",81012.9900947598,2.00249152689646,26.3712951820998,22.6204729528401,67.8527507652301,27.8977164991738,0.825,12.9848037489504,8141903970.32277,-257635717.488309,1.50710166666667,667491396.601975,0.967774119525083,0.9243966,76.142,107.749,0.154581811742773,"0",80036.7459938278
"Brunei Darussalam","2008",80036.7459938278,1.75709684415442,13.2665097444941,17.140980198942,78.2992366861295,27.6146073860544,0.825,13.6680736742508,10547552447.077,-222184549.489168,1.41716666666667,751159763.901468,2.08498023715416,0.8885025,76.142,107.749,-1.93971463784671,"1",78298.5229939319
"Brunei Darussalam","2009",78298.5229939319,4.9884090090107,-0.456492766645795,23.2876185839744,72.7831762889702,35.7894601987022,0.827,17.5565135510816,8577447662.63544,-325586827.786629,1.4545692733233,1357268956.60248,1.03571774271615,0.9180717,76.142,107.749,-1.76453554132601,"1",80280.0244489225
"Brunei Darussalam","2010",80280.0244489225,1.79216137255753,-3.54971281948964,22.1508828250401,67.407469234885,27.9614767255217,0.827,23.6918138041734,10932205342.4036,-479520595.760504,1.36350947368421,1563162507.49248,0.356869132017602,0.9017023,76.142,107.749,2.59896574643226,"0",83935.2257151622
"Brunei Darussalam","2011",83935.2257151622,5.4109037917457,37.3409116260914,18.7272025061151,69.5060721795477,30.0304681800627,0.831,26.0224005492855,15592984836.8794,-703751750.577839,1.25791302014692,2583674787.86635,0.137911563169595,0.8969321,76.142,107.749,3.74531835205994,"0",88245.9583498698
"Brunei Darussalam","2012",88245.9583498698,8.6624786051031,28.9024386569456,18.4393897092207,70.1612686589168,35.4797553188355,0.839,32.8833682510983,14859704173.1749,-859107110.358658,1.24956701649958,3449167916.72605,0.111766261400274,0.8434001,76.142,107.749,0.912841670964411,"0",83788.5108927602
"Brunei Darussalam","2013",83788.5108927602,6.03260396777068,11.9504402462961,20.1643182119352,68.0418746411061,42.8950041962984,0.839,39.590971332656,14047522462.2705,-778412341.07849,1.25116566976059,3575273901.90557,0.389205053123613,0.8697968,75.114,106.209,-2.12602851740175,"0",81371.2308691448
